,file_path,filename,class,size
0,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_100102.jpg,BA_100102.jpg,basophil,363x360
1,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_101381.jpg,BA_101381.jpg,basophil,363x360
2,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_101611.jpg,BA_101611.jpg,basophil,363x360
3,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_102039.jpg,BA_102039.jpg,basophil,363x360
4,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_102750.jpg,BA_102750.jpg,basophil,363x360
5,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_10387.jpg,BA_10387.jpg,basophil,363x360
6,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_10622.jpg,BA_10622.jpg,basophil,363x360
7,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_107595.jpg,BA_107595.jpg,basophil,363x360
8,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_107876.jpg,BA_107876.jpg,basophil,363x360
9,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_111710.jpg,BA_111710.jpg,basophil,363x360
10,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_112418.jpg,BA_112418.jpg,basophil,363x360
11,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_114542.jpg,BA_114542.jpg,basophil,363x360
12,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_114899.jpg,BA_114899.jpg,basophil,363x360
13,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_115323.jpg,BA_115323.jpg,basophil,363x360
14,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_115777.jpg,BA_115777.jpg,basophil,363x360
15,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_116477.jpg,BA_116477.jpg,basophil,363x360
16,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_119131.jpg,BA_119131.jpg,basophil,363x360
17,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_119883.jpg,BA_119883.jpg,basophil,363x360
18,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_120278.jpg,BA_120278.jpg,basophil,363x360
19,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_120688.jpg,BA_120688.jpg,basophil,363x360
20,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_121453.jpg,BA_121453.jpg,basophil,363x360
21,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_121897.jpg,BA_121897.jpg,basophil,363x360
22,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_1223.jpg,BA_1223.jpg,basophil,363x360
23,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_124389.jpg,BA_124389.jpg,basophil,363x360
24,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_124620.jpg,BA_124620.jpg,basophil,363x360
25,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_124938.jpg,BA_124938.jpg,basophil,363x360
