,level_0,index,file_path,filename,class
0,0,0,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_100102.jpg,BA_100102.jpg,basophil
1,1,4,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_102750.jpg,BA_102750.jpg,basophil
2,2,6,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_10622.jpg,BA_10622.jpg,basophil
3,3,10,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_112418.jpg,BA_112418.jpg,basophil
4,4,12,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_114899.jpg,BA_114899.jpg,basophil
5,5,14,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_115777.jpg,BA_115777.jpg,basophil
6,6,15,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_116477.jpg,BA_116477.jpg,basophil
7,7,17,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_119883.jpg,BA_119883.jpg,basophil
8,8,21,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_121897.jpg,BA_121897.jpg,basophil
9,9,26,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_126411.jpg,BA_126411.jpg,basophil
10,10,28,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_126839.jpg,BA_126839.jpg,basophil
11,11,31,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_127868.jpg,BA_127868.jpg,basophil
12,12,33,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_128423.jpg,BA_128423.jpg,basophil
13,13,35,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_129641.jpg,BA_129641.jpg,basophil
14,14,36,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_129960.jpg,BA_129960.jpg,basophil
15,15,37,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_130694.jpg,BA_130694.jpg,basophil
16,16,40,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_136062.jpg,BA_136062.jpg,basophil
17,17,41,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_136209.jpg,BA_136209.jpg,basophil
18,18,50,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_144863.jpg,BA_144863.jpg,basophil
19,19,51,../images_mendeley/PBC_dataset_normal_DIB/basophil/BA_145728.jpg,BA_145728.jpg,basophil
