,Patient_ID,file_path,filename,class,size
0,Patient_00,"../images_apl_aml/All/All/Patient_00/Signed slides\Blast, no lineage spec\BL_15336348.jpg",BL_15336348.jpg,blast,"(363, 360, 3)"
1,Patient_00,"../images_apl_aml/All/All/Patient_00/Signed slides\Blast, no lineage spec\BL_15336349.jpg",BL_15336349.jpg,blast,"(363, 360, 3)"
2,Patient_00,"../images_apl_aml/All/All/Patient_00/Signed slides\Blast, no lineage spec\BL_15336361.jpg",BL_15336361.jpg,blast,"(363, 360, 3)"
3,Patient_00,"../images_apl_aml/All/All/Patient_00/Signed slides\Blast, no lineage spec\BL_15336369.jpg",BL_15336369.jpg,blast,"(363, 360, 3)"
4,Patient_00,"../images_apl_aml/All/All/Patient_00/Signed slides\Blast, no lineage spec\BL_15336376.jpg",BL_15336376.jpg,blast,"(363, 360, 3)"
5,Patient_00,"../images_apl_aml/All/All/Patient_00/Signed slides\Blast, no lineage spec\BL_15336377.jpg",BL_15336377.jpg,blast,"(363, 360, 3)"
6,Patient_00,../images_apl_aml/All/All/Patient_00/Signed slides\Eosinophils\EO_15336344.jpg,EO_15336344.jpg,eosinophil,"(363, 360, 3)"
7,Patient_00,../images_apl_aml/All/All/Patient_00/Signed slides\Eosinophils\EO_15336371.jpg,EO_15336371.jpg,eosinophil,"(363, 360, 3)"
8,Patient_00,../images_apl_aml/All/All/Patient_00/Signed slides\Erythroblast\ERB_15336346.jpg,ERB_15336346.jpg,erythroblast,"(363, 360, 3)"
9,Patient_00,../images_apl_aml/All/All/Patient_00/Signed slides\Erythroblast\ERB_15336365.jpg,ERB_15336365.jpg,erythroblast,"(363, 360, 3)"
10,Patient_00,../images_apl_aml/All/All/Patient_00/Signed slides\Erythroblast\ERB_15336367.jpg,ERB_15336367.jpg,erythroblast,"(363, 360, 3)"
11,Patient_00,../images_apl_aml/All/All/Patient_00/Signed slides\Giant thrombocyte\GT_15336368.jpg,GT_15336368.jpg,platelet,"(363, 360, 3)"
12,Patient_00,../images_apl_aml/All/All/Patient_00/Signed slides\Lymphocyte\LY_15336325.jpg,LY_15336325.jpg,lymphocyte,"(363, 360, 3)"
13,Patient_00,../images_apl_aml/All/All/Patient_00/Signed slides\Lymphocyte\LY_15336336.jpg,LY_15336336.jpg,lymphocyte,"(363, 360, 3)"
14,Patient_00,../images_apl_aml/All/All/Patient_00/Signed slides\Lymphocyte\LY_15336340.jpg,LY_15336340.jpg,lymphocyte,"(363, 360, 3)"
15,Patient_00,../images_apl_aml/All/All/Patient_00/Signed slides\Lymphocyte\LY_15336342.jpg,LY_15336342.jpg,lymphocyte,"(363, 360, 3)"
16,Patient_00,../images_apl_aml/All/All/Patient_00/Signed slides\Lymphocyte\LY_15336343.jpg,LY_15336343.jpg,lymphocyte,"(363, 360, 3)"
17,Patient_00,../images_apl_aml/All/All/Patient_00/Signed slides\Lymphocyte\LY_15336350.jpg,LY_15336350.jpg,lymphocyte,"(363, 360, 3)"
