,filename,category,base
0,N_BA_100102.jpg,basophil,mendeley
1,N_BA_101381.jpg,basophil,mendeley
2,N_BA_101611.jpg,basophil,mendeley
3,N_BA_102039.jpg,basophil,mendeley
4,N_BA_102750.jpg,basophil,mendeley
5,N_BA_10387.jpg,basophil,mendeley
6,N_BA_10622.jpg,basophil,mendeley
7,N_BA_107595.jpg,basophil,mendeley
8,N_BA_107876.jpg,basophil,mendeley
9,N_BA_111710.jpg,basophil,mendeley
10,N_BA_112418.jpg,basophil,mendeley
11,N_BA_114542.jpg,basophil,mendeley
12,N_BA_114899.jpg,basophil,mendeley
13,N_BA_115323.jpg,basophil,mendeley
14,N_BA_115777.jpg,basophil,mendeley
15,N_BA_116477.jpg,basophil,mendeley
16,N_BA_119131.jpg,basophil,mendeley
17,N_BA_119883.jpg,basophil,mendeley
18,N_BA_120278.jpg,basophil,mendeley
19,N_BA_120688.jpg,basophil,mendeley
20,N_BA_121453.jpg,basophil,mendeley
21,N_BA_121897.jpg,basophil,mendeley
22,N_BA_1223.jpg,basophil,mendeley
23,N_BA_124389.jpg,basophil,mendeley
24,N_BA_124620.jpg,basophil,mendeley
25,N_BA_124938.jpg,basophil,mendeley
26,N_BA_126411.jpg,basophil,mendeley
27,N_BA_126424.jpg,basophil,mendeley
28,N_BA_126839.jpg,basophil,mendeley
29,N_BA_127306.jpg,basophil,mendeley
30,N_BA_127671.jpg,basophil,mendeley
31,N_BA_127868.jpg,basophil,mendeley
32,N_BA_128084.jpg,basophil,mendeley
33,N_BA_128423.jpg,basophil,mendeley
34,N_BA_129537.jpg,basophil,mendeley
35,N_BA_129641.jpg,basophil,mendeley
36,N_BA_129960.jpg,basophil,mendeley
37,N_BA_130694.jpg,basophil,mendeley
38,N_BA_130831.jpg,basophil,mendeley
39,N_BA_131174.jpg,basophil,mendeley
40,N_BA_136062.jpg,basophil,mendeley
41,N_BA_136209.jpg,basophil,mendeley
42,N_BA_139275.jpg,basophil,mendeley
43,N_BA_139552.jpg,basophil,mendeley
44,N_BA_139733.jpg,basophil,mendeley
45,N_BA_141630.jpg,basophil,mendeley
46,N_BA_141631.jpg,basophil,mendeley
47,N_BA_142746.jpg,basophil,mendeley
48,N_BA_143059.jpg,basophil,mendeley
49,N_BA_14309.jpg,basophil,mendeley
50,N_BA_144863.jpg,basophil,mendeley
51,N_BA_145728.jpg,basophil,mendeley
52,N_BA_147282.jpg,basophil,mendeley
53,N_BA_147402.jpg,basophil,mendeley
54,N_BA_147981.jpg,basophil,mendeley
55,N_BA_151210.jpg,basophil,mendeley
56,N_BA_152650.jpg,basophil,mendeley
57,N_BA_152708.jpg,basophil,mendeley
58,N_BA_152930.jpg,basophil,mendeley
59,N_BA_153085.jpg,basophil,mendeley
60,N_BA_154572.jpg,basophil,mendeley
61,N_BA_155216.jpg,basophil,mendeley
62,N_BA_155436.jpg,basophil,mendeley
63,N_BA_15551.jpg,basophil,mendeley
64,N_BA_157951.jpg,basophil,mendeley
65,N_BA_1581.jpg,basophil,mendeley
66,N_BA_158249.jpg,basophil,mendeley
67,N_BA_158647.jpg,basophil,mendeley
68,N_BA_161101.jpg,basophil,mendeley
69,N_BA_161905.jpg,basophil,mendeley
70,N_BA_162483.jpg,basophil,mendeley
71,N_BA_162861.jpg,basophil,mendeley
72,N_BA_163898.jpg,basophil,mendeley
73,N_BA_164170.jpg,basophil,mendeley
74,N_BA_165215.jpg,basophil,mendeley
75,N_BA_166254.jpg,basophil,mendeley
76,N_BA_166406.jpg,basophil,mendeley
77,N_BA_166905.jpg,basophil,mendeley
78,N_BA_168028.jpg,basophil,mendeley
79,N_BA_168566.jpg,basophil,mendeley
80,N_BA_172469.jpg,basophil,mendeley
81,N_BA_173262.jpg,basophil,mendeley
82,N_BA_173620.jpg,basophil,mendeley
83,N_BA_174705.jpg,basophil,mendeley
84,N_BA_174731.jpg,basophil,mendeley
85,N_BA_175269.jpg,basophil,mendeley
86,N_BA_175579.jpg,basophil,mendeley
87,N_BA_176200.jpg,basophil,mendeley
88,N_BA_17648.jpg,basophil,mendeley
89,N_BA_177230.jpg,basophil,mendeley
90,N_BA_177799.jpg,basophil,mendeley
91,N_BA_178345.jpg,basophil,mendeley
92,N_BA_178358.jpg,basophil,mendeley
93,N_BA_178853.jpg,basophil,mendeley
94,N_BA_179459.jpg,basophil,mendeley
95,N_BA_180745.jpg,basophil,mendeley
96,N_BA_180990.jpg,basophil,mendeley
97,N_BA_183362.jpg,basophil,mendeley
98,N_BA_184105.jpg,basophil,mendeley
99,N_BA_184682.jpg,basophil,mendeley
100,N_BA_186830.jpg,basophil,mendeley
101,N_BA_18821.jpg,basophil,mendeley
102,N_BA_188974.jpg,basophil,mendeley
103,N_BA_189696.jpg,basophil,mendeley
104,N_BA_190505.jpg,basophil,mendeley
105,N_BA_191120.jpg,basophil,mendeley
106,N_BA_19177.jpg,basophil,mendeley
107,N_BA_193488.jpg,basophil,mendeley
108,N_BA_193863.jpg,basophil,mendeley
109,N_BA_196745.jpg,basophil,mendeley
110,N_BA_196807.jpg,basophil,mendeley
111,N_BA_197357.jpg,basophil,mendeley
112,N_BA_19779.jpg,basophil,mendeley
113,N_BA_198105.jpg,basophil,mendeley
114,N_BA_198153.jpg,basophil,mendeley
115,N_BA_198565.jpg,basophil,mendeley
116,N_BA_199179.jpg,basophil,mendeley
117,N_BA_200697.jpg,basophil,mendeley
118,N_BA_200989.jpg,basophil,mendeley
119,N_BA_201200.jpg,basophil,mendeley
120,N_BA_20161.jpg,basophil,mendeley
121,N_BA_201984.jpg,basophil,mendeley
122,N_BA_20201.jpg,basophil,mendeley
123,N_BA_202924.jpg,basophil,mendeley
124,N_BA_2035.jpg,basophil,mendeley
125,N_BA_204774.jpg,basophil,mendeley
126,N_BA_204791.jpg,basophil,mendeley
127,N_BA_206112.jpg,basophil,mendeley
128,N_BA_206130.jpg,basophil,mendeley
129,N_BA_208484.jpg,basophil,mendeley
130,N_BA_208485.jpg,basophil,mendeley
131,N_BA_209608.jpg,basophil,mendeley
132,N_BA_210917.jpg,basophil,mendeley
133,N_BA_212452.jpg,basophil,mendeley
134,N_BA_212732.jpg,basophil,mendeley
135,N_BA_212748.jpg,basophil,mendeley
136,N_BA_21413.jpg,basophil,mendeley
137,N_BA_214521.jpg,basophil,mendeley
138,N_BA_214538.jpg,basophil,mendeley
139,N_BA_214867.jpg,basophil,mendeley
140,N_BA_214889.jpg,basophil,mendeley
141,N_BA_215988.jpg,basophil,mendeley
142,N_BA_218293.jpg,basophil,mendeley
143,N_BA_218471.jpg,basophil,mendeley
144,N_BA_219183.jpg,basophil,mendeley
145,N_BA_220744.jpg,basophil,mendeley
146,N_BA_221009.jpg,basophil,mendeley
147,N_BA_221057.jpg,basophil,mendeley
148,N_BA_221648.jpg,basophil,mendeley
149,N_BA_22197.jpg,basophil,mendeley
150,N_BA_223010.jpg,basophil,mendeley
151,N_BA_223705.jpg,basophil,mendeley
152,N_BA_223799.jpg,basophil,mendeley
153,N_BA_225229.jpg,basophil,mendeley
154,N_BA_225540.jpg,basophil,mendeley
155,N_BA_227863.jpg,basophil,mendeley
156,N_BA_229541.jpg,basophil,mendeley
157,N_BA_229550.jpg,basophil,mendeley
158,N_BA_229935.jpg,basophil,mendeley
159,N_BA_230866.jpg,basophil,mendeley
160,N_BA_232284.jpg,basophil,mendeley
161,N_BA_236096.jpg,basophil,mendeley
162,N_BA_236251.jpg,basophil,mendeley
163,N_BA_236510.jpg,basophil,mendeley
164,N_BA_237069.jpg,basophil,mendeley
165,N_BA_237864.jpg,basophil,mendeley
166,N_BA_238012.jpg,basophil,mendeley
167,N_BA_238331.jpg,basophil,mendeley
168,N_BA_23839.jpg,basophil,mendeley
169,N_BA_240301.jpg,basophil,mendeley
170,N_BA_240977.jpg,basophil,mendeley
171,N_BA_241069.jpg,basophil,mendeley
172,N_BA_241108.jpg,basophil,mendeley
173,N_BA_241392.jpg,basophil,mendeley
174,N_BA_24200302.jpg,basophil,mendeley
175,N_BA_242626.jpg,basophil,mendeley
176,N_BA_243213.jpg,basophil,mendeley
177,N_BA_243554.jpg,basophil,mendeley
178,N_BA_243889.jpg,basophil,mendeley
179,N_BA_245418.jpg,basophil,mendeley
180,N_BA_24720.jpg,basophil,mendeley
181,N_BA_248930.jpg,basophil,mendeley
182,N_BA_24963.jpg,basophil,mendeley
183,N_BA_249665.jpg,basophil,mendeley
184,N_BA_250000.jpg,basophil,mendeley
185,N_BA_250396.jpg,basophil,mendeley
186,N_BA_250620.jpg,basophil,mendeley
187,N_BA_251042.jpg,basophil,mendeley
188,N_BA_25245.jpg,basophil,mendeley
189,N_BA_254321.jpg,basophil,mendeley
190,N_BA_254820.jpg,basophil,mendeley
191,N_BA_255467.jpg,basophil,mendeley
192,N_BA_255533.jpg,basophil,mendeley
193,N_BA_255913.jpg,basophil,mendeley
194,N_BA_25610.jpg,basophil,mendeley
195,N_BA_258997.jpg,basophil,mendeley
196,N_BA_260100.jpg,basophil,mendeley
197,N_BA_260213.jpg,basophil,mendeley
198,N_BA_262646.jpg,basophil,mendeley
199,N_BA_263028.jpg,basophil,mendeley
200,N_BA_26315.jpg,basophil,mendeley
201,N_BA_264833.jpg,basophil,mendeley
202,N_BA_26527.jpg,basophil,mendeley
203,N_BA_265929.jpg,basophil,mendeley
204,N_BA_266178.jpg,basophil,mendeley
205,N_BA_266370.jpg,basophil,mendeley
206,N_BA_266945.jpg,basophil,mendeley
207,N_BA_267693.jpg,basophil,mendeley
208,N_BA_268064.jpg,basophil,mendeley
209,N_BA_27002.jpg,basophil,mendeley
210,N_BA_270382.jpg,basophil,mendeley
211,N_BA_270647.jpg,basophil,mendeley
212,N_BA_271501.jpg,basophil,mendeley
213,N_BA_271614.jpg,basophil,mendeley
